Name,Style,Brewery,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,ABV,Min IBU,Max IBU,number_of_reviews
# 100,Barleywine - American,Nøgne Ø - Det Kompromissløse Bryggeri A/S,18,70,43,85,92,26,1,53,95,15,113,4.013761,4.15367,4.084862,4.094037,3.961009,10.0,60.0,100.0,218
#9,Fruit and Field Beer,Magic Hat Brewing Company,22,23,1,31,73,38,0,74,50,2,28,3.434466,3.50104,3.398058,3.396671,3.539528,5.1,5.0,45.0,1442
't Smisje BBBourgondier,Quadrupel (Quad),Brouwerij Smisje,14,65,83,8,133,74,0,88,20,42,58,3.914894,3.787234,3.898936,3.968085,3.835106,12.0,25.0,50.0,94
't Smisje Blond,Blonde Ale - Belgian,Brouwerij Smisje,11,34,14,21,31,82,0,79,43,15,22,3.260417,3.572917,3.260417,3.083333,3.03125,6.0,15.0,30.0,48
(512) Pecan Porter(512) Brewing Company,Porter - American,(512) Brewing Company,13,66,3,41,43,4,0,3,23,6,120,4.067901,4.166667,3.981481,4.166667,4.185185,6.2,20.0,40.0,81
(512) Whiskey Barrel Aged Double Pecan Porter(512) Brewing Company,Porter - Imperial,(512) Brewing Company,3,58,69,14,44,18,0,8,5,17,106,4.094595,4.189189,4.067568,4.135135,4.067568,8.2,35.0,50.0,37
10 Commandments,Strong Ale - Belgian Dark,The Lost Abbey,9,55,58,29,119,41,0,80,36,27,67,4.061017,3.986441,3.883051,3.986441,3.828814,11.0,25.0,50.0,295
10 Degrees Below,Wheat Beer - Dunkelweizen,Scuttlebutt Brewing Company,11,71,35,54,62,23,0,45,25,14,97,3.569444,3.652778,3.666667,3.527778,3.680556,7.4,10.0,15.0,36
1100 Wheat Wine,Wheat Beer - Wheatwine,Fitger's Brewhouse,4,30,26,4,34,14,0,38,9,12,30,4.6,4.2,4.3,4.6,4.5,11.5,45.0,85.0,5
12 Dogs Of Christmas Ale,Winter Warmer,Thirsty Dog Brewing Company,8,37,23,16,67,6,0,13,17,116,79,3.807692,3.746154,3.669231,3.861538,3.796154,8.3,35.0,50.0,130
120 Minute IPA,IPA - Imperial,Dogfish Head Brewery,9,43,50,55,89,42,3,58,63,18,60,4.002006,4.029799,3.89341,3.919484,3.549857,18.0,65.0,100.0,1745
13 Rebels ESB,Bitter - English Extra Special / Strong Bitter (ESB),French Broad Brewing Co.,14,31,7,54,41,27,0,26,77,2,84,3.415584,3.577922,3.61039,3.571429,3.668831,5.2,20.0,40.0,77
13th Century Grut Bier,Gruit / Ancient Herbed Ale,Professor Fritz Briem,30,28,18,32,22,55,0,46,133,79,16,3.979339,3.578512,3.752066,3.85124,3.652893,4.6,0.0,0.0,121
1488 Whisky Beer,Strong Ale - English,Tullibardine Distillery,10,54,74,13,74,23,0,31,16,28,81,3.472222,3.194444,3.222222,3.333333,3.083333,7.0,40.0,60.0,18
1516 Bavarian Lager,Lager - Helles,Okanagan Spring Brewery,42,33,3,38,28,9,4,11,50,3,68,3.147059,3.5,3.382353,3.426471,3.617647,5.0,18.0,25.0,34
1554,Lager - European Dark,New Belgium Brewing,11,55,7,27,54,7,0,4,14,15,85,3.72692,3.960742,3.798533,3.913719,3.958585,6.0,15.0,40.0,1159
17 Grande Réserve,Strong Ale - Belgian Dark,Unibroue,6,66,28,14,127,40,0,78,11,50,83,4.227273,4.272727,4.181818,4.272727,4.272727,10.0,25.0,50.0,11
1809,Sour - Berliner Weisse,Professor Fritz Briem,39,33,9,12,55,129,2,80,17,10,29,3.965517,3.95197,4.013547,4.10468,4.176108,5.0,3.0,6.0,406
1888,California Common / Steam Beer,Anaheim Brewery,1,10,1,11,5,8,0,7,19,1,13,3.25,3.75,4.0,3.5,3.5,5.5,35.0,45.0,2
1906 Reserva Especial,Lager - Vienna,"Hijos De Rivera, S.A.",21,26,9,34,47,10,3,10,61,7,88,2.825,3.25,3.1,2.9,2.9,6.5,15.0,30.0,20
2XIPA,IPA - Imperial,Southern Tier Brewing Company,18,31,14,67,42,46,0,45,89,1,35,4.021067,3.916433,3.956461,4.044242,4.077247,8.2,65.0,100.0,712
2XSTOUT,Stout - Sweet / Milk,Southern Tier Brewing Company,11,89,13,35,62,10,0,7,17,7,86,3.45,3.7,3.75,3.7,3.575,7.5,15.0,25.0,20
312 Urban Wheat,Wheat Beer - American Pale,Goose Island Beer Co.,27,45,10,25,22,51,3,57,31,6,84,3.297674,3.490698,3.505426,3.449612,3.74031,4.2,10.0,35.0,645
32°/50° Kölsch,Kölsch,COAST Brewing Company,30,39,3,32,46,34,3,41,61,9,91,4.016484,4.076923,4.126374,4.241758,4.516484,4.8,18.0,25.0,91
33 ExportVBL Tien Giang Limited (Fosters),Lager - European / Dortmunder Export,VBL Tien Giang Limited (Fosters),10,16,5,14,28,7,2,8,18,3,43,2.622047,2.933071,2.885827,2.799213,2.996063,4.5,23.0,29.0,127
4 Elf,Winter Warmer,Dark Horse Brewing Company,7,49,39,25,52,9,0,19,29,128,71,4.159722,3.958333,4.034722,4.097222,4.006944,8.75,35.0,50.0,72
420 Extra Pale Ale,Pale Ale - American,SweetWater Brewing Company,12,25,6,42,36,37,1,48,69,9,47,3.512241,3.634652,3.603578,3.665725,3.862524,5.4,25.0,50.0,531
471 Small Batch IPA,IPA - Imperial,Breckenridge Brewery,6,19,25,38,45,30,0,46,47,3,36,3.863376,3.938484,3.89485,3.912732,3.901288,9.2,65.0,100.0,699
5 Barrel Pale Ale,Pale Ale - English,Odell Brewing Company,20,27,4,65,41,34,1,36,92,0,48,3.701271,3.885593,3.722458,3.811441,3.938559,5.2,20.0,40.0,236
5 Vulture,Chile Beer,5 Rabbit Cerveceria,5,44,24,26,66,8,2,15,13,87,74,3.818182,3.818182,3.727273,3.818182,3.727273,6.4,0.0,0.0,11
50 Degrees North-4 Degrees East,Lambic - Traditional,Brasserie Cantillon,21,38,29,17,62,106,0,66,25,5,15,4.310606,4.068182,4.166667,4.295455,4.234848,7.0,0.0,10.0,66
5AM Saint,Red Ale - American Amber / Red,BrewDog,11,23,5,50,48,34,0,37,66,2,72,3.94,4.062857,3.725714,3.78,3.885714,5.0,25.0,45.0,175
60 Minute IPA,IPA - American,Dogfish Head Brewery,17,26,6,56,14,40,0,44,75,3,24,3.996768,3.966061,4.006667,4.11899,4.172727,6.0,50.0,70.0,2475
668 Neighbor Of The Beast,Strong Ale - Belgian Pale,New England Brewing Co.,12,49,18,18,57,46,3,67,36,42,53,3.938053,4.013274,3.951327,3.969027,3.915929,7.8,20.0,40.0,113
72 Imperial Chocolate Cream Stout,Stout - Sweet / Milk,Breckenridge Brewery,8,155,13,48,90,12,0,14,20,17,147,3.884615,3.884615,4.076923,4.230769,4.192308,7.2,15.0,25.0,13
75 Minute IPA,IPA - American,Dogfish Head Brewery,8,54,11,48,88,35,4,39,70,3,77,4.078014,4.053191,4.131206,4.244681,4.22695,7.5,50.0,70.0,141
8 Ball Stout,Stout - Oatmeal,Lost Coast Brewery and Cafe,14,64,1,42,43,11,0,11,19,4,94,3.809474,3.955789,3.821053,3.92,3.908421,6.3,20.0,40.0,475
80/- (Eighty Shilling),Scottish Ale,Williams Brothers Brewing Company,16,84,6,32,86,20,1,26,39,13,139,3.779412,4.0,3.691176,3.75,3.970588,4.2,9.0,25.0,34
8th Street Pale Ale,Pale Ale - English,Four Peaks Brewing Company,16,42,3,53,41,26,0,28,88,5,65,3.584416,3.701299,3.616883,3.655844,3.831169,4.9,20.0,40.0,77
90 Minute IPA,IPA - Imperial,Dogfish Head Brewery,3,15,13,44,40,31,1,36,56,5,42,4.213526,4.192097,4.181763,4.325988,4.145745,9.0,65.0,100.0,3290
90 Shilling,Scottish Ale,Odell Brewing Company,21,48,13,32,52,13,0,19,46,11,94,3.75,4.0,4.25,4.25,4.25,5.3,9.0,25.0,2
A Little Sumpin' Extra! Ale,IPA - Imperial,Lagunitas Brewing Company,12,39,21,53,48,51,0,67,69,3,40,4.177711,4.152108,4.048193,4.141566,4.134036,8.7,65.0,100.0,332
A Little Sumpin' Sumpin' Ale,IPA - American,Lagunitas Brewing Company,15,32,14,58,23,56,1,69,100,2,65,4.208235,3.995882,4.031765,4.216471,4.219412,7.5,50.0,70.0,850
A Little Sumpin' Wild,IPA - Belgian,Lagunitas Brewing Company,16,33,17,53,41,69,0,62,71,9,26,4.095273,4.088626,3.996307,4.10192,4.079025,8.8,50.0,80.0,677
ALTerior Motive,Altbier,COAST Brewing Company,27,61,11,56,61,46,0,40,77,14,110,4.1875,4.0625,4.25,4.25,4.46875,6.3,25.0,50.0,16
Aardmonnik - Earthmonk,Sour - Flanders Oud Bruin,De Struise Brouwers,30,51,15,22,124,148,0,109,9,12,52,4.03268,3.630719,3.712418,4.065359,3.908497,8.0,20.0,25.0,153
Aass Bock,Bock - Traditional,Aass Brewery,5,49,14,34,81,15,0,21,25,3,76,3.853659,3.987805,3.817073,4.036585,3.926829,6.5,20.0,30.0,41
Abbaye D'Aulne Blonde Des Pères (Sur Lie) 6°,Blonde Ale - Belgian,Brasserie Val De Sambre,22,44,7,28,60,46,0,45,38,28,31,3.558824,3.558824,3.529412,3.558824,3.558824,6.0,15.0,30.0,17
Abbaye De Floreffe Blonde,Blonde Ale - Belgian,Brasserie Lefèbvre SA,17,25,15,33,76,44,3,49,55,30,65,3.588235,3.735294,3.588235,3.735294,3.823529,6.3,15.0,30.0,17
Abbaye De Saint Bon-ChienBFM (Brasserie des Franches-Montagnes),Farmhouse Ale - Bière de Garde,BFM Brasserie Des Franches-Montagnes,30,27,27,6,60,113,0,74,5,6,19,4.341954,3.91092,4.106322,4.344828,4.183908,11.0,20.0,30.0,174
Abbaye Des Rocs Grand Cru Belgian Special Brown,Strong Ale - Belgian Dark,Brasserie de l'Abbaye des Rocs s.a.,13,59,22,16,130,53,0,79,16,27,79,4.231481,4.082305,4.148148,4.290123,4.140947,9.0,25.0,50.0,486
Abbaye Des Rocs [Brasserie Des Rocs Brune],Strong Ale - Belgian Dark,Brasserie de l'Abbaye des Rocs s.a.,10,45,28,17,92,21,1,53,18,18,72,4.261324,4.085366,4.165505,4.301394,4.228223,9.0,25.0,50.0,287
Abbey,Dubbel,New Belgium Brewing,12,47,16,25,103,37,1,86,31,24,85,4.021094,4.057812,3.933594,4.01875,3.989063,7.0,15.0,30.0,640
Abbey Ale,Brown Ale - Belgian Dark,Cathedral Square Brewery,11,46,18,25,60,25,1,43,31,22,92,3.5,3.694444,3.416667,3.361111,3.333333,6.5,15.0,25.0,18
Abbey Ale,Dubbel,Abita Brewing Co.,4,39,12,12,82,43,0,54,16,39,78,3.637566,3.891534,3.634921,3.611111,3.619048,8.0,15.0,30.0,189
Abbey Ale,Dubbel,Brewery Ommegang,12,38,25,13,90,26,0,73,15,28,73,4.094761,4.253558,4.0511,4.160737,4.044631,8.2,15.0,30.0,1546
Abbey Dubbel,Dubbel,Flying Fish Brewing Company,5,41,13,20,95,14,0,49,13,18,65,4.5,4.0,4.0,4.5,4.5,7.2,15.0,30.0,1
Abbey Triple,Tripel,Sprecher Brewing Company,8,22,16,6,79,42,0,57,11,23,39,3.480226,3.468927,3.480226,3.516949,3.463277,8.4,20.0,40.0,177
Abbot Ale,Bitter - English Extra Special / Strong Bitter (ESB),Greene King / Morland Brewery,9,42,5,30,63,16,3,19,51,7,92,3.5,3.873512,3.712798,3.633929,3.764881,5.0,20.0,40.0,336
Abner,IPA - New England,Hill Farmstead Brewery,25,30,8,68,50,79,0,139,88,3,24,4.413636,4.181818,4.263636,4.463636,4.431818,8.2,50.0,70.0,110
Abrasive Ale,IPA - Imperial,Surly Brewing Company,23,34,16,78,73,69,0,111,103,7,47,4.500888,4.24778,4.298401,4.446714,4.430728,9.2,65.0,100.0,563
Abraxas,Stout - American Imperial,Perennial Artisan Ales,4,139,46,46,73,4,2,8,16,158,126,4.2,4.1,4.5,4.3,4.3,11.5,50.0,80.0,5
Abt 12,Quadrupel (Quad),Brouwerij St. Bernardus NV,17,57,59,24,117,44,0,85,27,30,84,4.318448,4.362201,4.36829,4.487145,4.327921,10.0,25.0,50.0,2217
Achel Trappist Extra,Strong Ale - Belgian Dark,Brouwerij der St. Benedictusabdij de Achelse,17,52,38,22,122,33,0,80,18,34,81,4.219653,4.242775,4.182081,4.367052,4.228324,9.5,25.0,50.0,173
Ad Astra Ale,Altbier,Free State Brewing Co.,7,30,5,43,43,13,1,13,50,6,93,3.52381,3.904762,3.77381,3.690476,3.869048,5.6,25.0,50.0,42
Adam,Old Ale,Hair of the Dog Brewing Company / Brewery and Tasting Room,10,104,38,56,125,25,0,67,31,42,132,4.206027,4.175892,4.160517,4.289668,4.048585,10.0,30.0,65.0,813
Adam From The Wood,Old Ale,Hair of the Dog Brewing Company / Brewery and Tasting Room,6,79,47,22,127,25,0,76,8,35,88,4.608333,4.175,4.475,4.666667,4.55,12.0,30.0,65.0,60
Adelscott,Smoked Beer,Brasserie Fischer / Fischer Biere d' Alsace,12,51,36,24,108,14,0,14,26,48,84,2.847222,3.236111,2.736111,2.583333,2.5,6.4,20.0,30.0,36
Adnams Bitter,Bitter - English,"Adnams plc, Sole Bay Brewery",18,60,10,95,63,42,0,39,109,13,90,3.522727,3.897727,3.738636,3.795455,3.852273,4.1,20.0,35.0,44
Adnams Broadside,Strong Ale - English,"Adnams plc, Sole Bay Brewery",4,46,27,32,72,28,0,47,34,14,80,3.721053,4.015789,3.821053,3.978947,3.931579,6.3,40.0,60.0,95
Adnams SSB (Suffolk Special Bitter),Bitter - English Extra Special / Strong Bitter (ESB),"Adnams plc, Sole Bay Brewery",16,46,18,65,52,33,0,25,69,6,72,3.692857,3.921429,3.8,3.878571,3.996429,4.5,20.0,40.0,140
Adnams Southwold Bitter,Bitter - English,"Adnams plc, Sole Bay Brewery",18,49,15,94,97,49,2,55,127,9,85,3.475,3.825,3.85,3.65,3.8,4.1,20.0,35.0,20
Aecht Schlenkerla Eiche,Lager - Rauchbier,Brauerei Heller-Trum / Schlenkerla,6,47,16,25,47,11,0,13,34,95,58,4.238532,3.841743,3.970183,4.158257,4.045872,8.0,20.0,30.0,218
Aecht Schlenkerla Fastenbier (Lentbeer),Lager - Rauchbier,Brauerei Heller-Trum / Schlenkerla,15,66,12,55,63,7,1,9,69,121,106,4.361446,4.138554,4.120482,4.295181,4.198795,5.9,20.0,30.0,83
Aecht Schlenkerla Helles Lagerbier,Lager - Helles,Brauerei Heller-Trum / Schlenkerla,19,23,7,30,18,13,4,12,50,89,59,3.860068,3.790102,3.918089,4.03413,4.119454,4.3,18.0,25.0,293
Aecht Schlenkerla Kräusen,Lager - Rauchbier,Brauerei Heller-Trum / Schlenkerla,29,56,12,22,23,13,1,6,28,93,67,3.807692,4.038462,4.038462,3.884615,3.923077,4.55,20.0,30.0,13
Aecht Schlenkerla Rauchbier Märzen,Lager - Rauchbier,Brauerei Heller-Trum / Schlenkerla,8,33,6,30,26,5,4,2,26,124,64,4.207537,4.021372,3.899325,4.065804,3.830146,5.4,20.0,30.0,889
Aecht Schlenkerla Rauchbier Urbock,Lager - Rauchbier,Brauerei Heller-Trum / Schlenkerla,11,50,11,20,45,4,2,6,17,78,80,4.253484,4.05662,4.002613,4.162892,3.873693,6.6,20.0,30.0,574
Aecht Schlenkerla Rauchbier Weizen,Lager - Rauchbier,Brauerei Heller-Trum / Schlenkerla,10,43,9,14,34,19,0,21,15,122,98,4.028529,3.947447,3.776276,3.870871,3.762763,5.2,20.0,30.0,333
Affligem Blond,Blonde Ale - Belgian,Brouwerij De Smedt / Brouwerij Affligem,19,28,12,20,47,36,0,38,25,17,41,3.80837,4.015419,3.848018,3.889868,3.943833,6.8,15.0,30.0,454
Affligem Dubbel,Dubbel,Brouwerij De Smedt / Brouwerij Affligem,9,30,12,17,60,29,0,38,14,17,39,3.796226,3.981132,3.745283,3.745283,3.750943,6.8,15.0,30.0,265
Affligem Noël,Strong Ale - Belgian Dark,Brouwerij De Smedt / Brouwerij Affligem,13,72,45,19,124,47,0,91,15,66,75,4.070968,4.101613,4.016129,4.145161,4.062903,9.0,25.0,50.0,310
Affligem Tripel,Tripel,Brouwerij De Smedt / Brouwerij Affligem,17,32,18,24,105,58,0,84,42,28,49,3.904221,4.016234,3.938312,3.949675,3.941558,9.5,20.0,40.0,308
After Dark,Mild Ale - English Dark,Nelson Brewing Company,9,59,5,35,60,28,1,32,34,9,88,3.727273,3.818182,3.681818,3.909091,4.045455,5.0,20.0,30.0,11
Aftershock,California Common / Steam Beer,Palmetto Brewing Company,1,9,3,11,6,8,0,5,11,2,11,3.666667,3.833333,3.666667,3.5,3.666667,6.4,35.0,45.0,3
Agave Wheat,Herb and Spice Beer,Breckenridge Brewery,37,23,27,4,33,29,2,25,16,5,56,3.26129,3.53871,3.454839,3.409677,3.506452,4.2,5.0,40.0,155
Agnus Dei (Abbey Pale Ale),Tripel,Brouwerij Corsendonk,28,30,20,25,72,45,1,51,38,41,51,3.844866,3.962054,3.914062,3.924107,4.001116,7.5,20.0,40.0,448
Aiko,Lager - European Strong,Rinkuškiai Alaus Darykloje,7,35,54,26,64,21,0,20,35,9,67,3.0625,3.229167,3.0,2.875,2.875,9.5,15.0,40.0,24
Akevitt,Porter - Baltic,HaandBryggeriet,20,121,44,75,103,22,0,27,62,37,148,4.060811,3.966216,3.878378,3.966216,3.898649,7.0,25.0,45.0,74
Akiraku,Happoshu,Suntory,0,0,0,0,0,0,0,0,0,0,0,3.5,3.0,4.0,4.5,4.0,6.0,0.0,0.0,1
Aktien Original 1857,Lager - European / Dortmunder Export,Bayreuther Bierbrauerei,19,16,2,15,14,13,0,11,25,8,37,3.5,3.7,3.8,3.7,3.8,5.3,23.0,29.0,5
Alamo Golden Ale,Blonde Ale - American,Alamo Beer Co.,21,21,9,29,18,5,1,5,44,4,50,3.321429,3.357143,3.535714,3.535714,3.690476,5.1,15.0,25.0,42
Alba Scots Pine Ale,Gruit / Ancient Herbed Ale,Williams Brothers Brewing Company,13,46,30,26,77,33,0,44,110,12,51,3.797357,3.687225,3.721366,3.80837,3.665198,7.5,0.0,0.0,454
Alberta Clipper,Porter - Imperial,Great Lakes Brewing Company,5,110,29,30,154,21,0,78,30,8,105,3.909091,4.136364,3.863636,4.045455,4.0,7.8,35.0,50.0,11
Aldebaran,IPA - Belgian,Kuhnhenn Brewing Company,29,76,77,89,145,77,0,111,132,58,100,4.142857,4.083333,4.059524,4.142857,4.047619,10.25,50.0,80.0,42
Ale Of Fergus,Mild Ale - English Dark,Devils Backbone Brewing Company,4,28,1,14,18,5,0,4,15,7,38,3.625,3.75,3.625,4.0,4.25,4.0,20.0,30.0,4
Ale To The Chief,Strong Ale - American,Avery Brewing Company,16,57,23,82,93,67,1,81,116,8,107,4.097911,4.104439,4.0,4.084856,3.98564,8.75,40.0,100.0,383
Alhambra Negra,Lager - European Dark,"Grupo Cervezas Alhambra, SL",33,59,8,60,70,11,0,14,42,8,104,3.317073,3.658537,3.219512,3.341463,3.445122,5.4,15.0,40.0,82
Alice Porter,Porter - Baltic,BrewDog,15,73,19,100,74,47,1,32,63,17,119,3.942857,3.857143,3.8,3.985714,3.985714,5.2,25.0,45.0,35
Alkoholfrei,Low Alcohol Beer,Bitburger Brauerei,14,17,13,25,10,2,3,0,55,5,37,2.1875,2.875,2.0625,2.1875,2.3125,0.55,10.0,20.0,8
All Day IPA,IPA - American,Founders Brewing Company,16,16,2,38,16,24,1,30,54,1,25,4.066667,3.766667,3.955556,3.922222,4.1,4.7,50.0,70.0,45
Allgäuer Hüttenbier,Lager - European / Dortmunder Export,Der HirschBrau/Privatbrauerei Höss,8,23,2,19,17,8,0,9,30,2,54,2.75,3.0,3.0,3.0,3.0,5.2,23.0,29.0,2
Almaza Pilsner Beer,Pilsner - German,Brasserie Almaza S.A.L.,29,22,8,27,24,14,3,10,55,4,63,2.738532,3.114679,2.807339,2.788991,3.013761,4.2,25.0,40.0,109
Alpen Glow,Bock - Weizenbock,Fat Heads Brewery & Saloon,10,48,29,10,56,23,0,66,7,34,55,4.038462,4.192308,3.923077,4.076923,4.0,7.0,15.0,35.0,13
Alpen Stoff,Lager - European / Dortmunder Export,Bürgerbräu Bad Reichenhall,14,31,3,28,23,14,0,15,47,1,55,2.833333,3.0,2.833333,3.166667,3.333333,5.3,23.0,29.0,3
Alpha King,Pale Ale - American,Three Floyds Brewing Co. & Brewpub,14,25,6,45,37,41,1,46,78,6,55,4.253429,4.11855,4.139778,4.32887,4.330176,6.66,25.0,50.0,1531
Alpha Klaus Christmas (Xmas) Porter,Porter - American,Three Floyds Brewing Co. & Brewpub,18,95,16,98,79,18,0,21,94,14,110,4.203101,4.243411,4.08062,4.241085,4.17907,6.0,20.0,40.0,645
Alpha Kong,Strong Ale - Belgian Pale,Three Floyds Brewing Co. & Brewpub,10,40,39,28,63,37,0,53,46,71,36,4.090909,3.981818,3.940909,4.140909,3.795455,10.5,20.0,40.0,110
Alpine Glacier Lager,Lager - American,Tommyknocker Brewery,30,31,7,50,39,35,0,33,79,5,52,3.047904,3.359281,3.284431,3.218563,3.437126,4.5,30.0,45.0,167
Alt-eration Ale,Altbier,Hops & Grain,21,43,3,54,54,7,0,10,60,9,111,5.0,4.0,4.0,4.0,4.5,5.0,25.0,50.0,1
Altbier,Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,34,48,9,55,59,25,1,32,68,12,121,3.887701,4.061497,3.949198,4.053476,4.101604,4.7,25.0,50.0,187
Amber,Altbier,Alaskan Brewing Co.,13,32,9,47,74,33,0,33,57,8,111,3.498994,3.636821,3.556338,3.643863,3.847082,5.3,25.0,50.0,497
Amber,Lager - American Amber / Red,Abita Brewing Co.,13,24,6,24,37,7,0,5,32,2,71,3.205189,3.485849,3.318396,3.340802,3.549528,4.5,18.0,30.0,424
Amber Ale,Red Ale - American Amber / Red,Saint Arnold Brewing Company,12,54,8,47,23,9,2,14,68,4,77,3.532164,3.47076,3.552632,3.614035,3.754386,6.2,25.0,45.0,171
Amber Ale,Red Ale - American Amber / Red,The Duck-Rabbit Craft Brewery,15,36,9,42,65,15,0,21,56,4,111,3.442857,3.771429,3.430952,3.361905,3.478571,5.5,25.0,45.0,210
Amber Ale,Red Ale - Irish,Starr Hill Brewery,15,46,0,33,50,13,0,11,45,2,92,3.276042,3.635417,3.395833,3.427083,3.515625,4.8,20.0,30.0,96
Ambergeddon,Red Ale - American Amber / Red,Ale Asylum,15,34,15,89,38,28,0,30,85,3,89,4.007576,4.026515,3.882576,4.068182,4.140152,6.8,25.0,45.0,132
American Amber Ale,Red Ale - American Amber / Red,Rogue Ales,13,38,6,51,40,22,1,28,60,3,69,3.808437,3.957123,3.850622,3.910788,3.979253,5.3,25.0,45.0,723
Amstel Gold,Lager - European Strong,Amstel Brouwerij B. V.,3,6,11,9,10,1,0,3,10,4,10,3.166667,3.333333,3.333333,3.0,3.333333,7.0,15.0,40.0,3
Amstel Lager,Lager - European Pale,Amstel Brouwerij B. V.,14,25,4,21,26,7,0,6,32,3,62,2.566667,2.975,2.641667,2.558333,2.866667,5.0,18.0,25.0,60
Amstel Light,Lager - Light,Amstel Brouwerij B. V.,21,26,2,36,21,11,4,4,65,6,71,2.231183,2.568817,2.450538,2.363441,2.719355,3.5,8.0,12.0,465
"Amsterdam Navigator 8,4",Lager - European Strong,Grolsch Bierbrouwerij N.V.,1,19,19,18,63,13,0,15,20,2,30,2.9,3.2,2.6,2.4,2.2,8.4,15.0,40.0,5
An Brain Blásta,Strong Ale - English,The Porterhouse Brewing Company,11,48,28,40,89,32,0,39,74,4,101,3.416667,3.666667,3.638889,3.5,3.361111,7.0,40.0,60.0,18
Anchor Liberty Ale,IPA - American,Anchor Brewing Company,21,27,7,67,27,51,0,61,85,4,47,3.881087,3.973536,3.91108,4.017643,4.100917,5.9,50.0,70.0,1417
Anchor Porter,Porter - American,Anchor Brewing Company,12,101,9,85,70,11,0,19,59,11,126,3.990602,4.242105,4.081203,4.167293,4.144361,5.6,20.0,40.0,1330
Anchor Steam Beer,California Common / Steam Beer,Anchor Brewing Company,31,35,13,41,60,42,3,41,58,11,77,3.636701,3.921804,3.825628,3.888413,4.059646,4.9,35.0,45.0,1752
Anchor Summer Beer,Wheat Beer - American Pale,Anchor Brewing Company,32,37,8,38,18,38,5,42,56,13,96,3.193333,3.692381,3.42381,3.267619,3.604762,4.6,10.0,35.0,525
