Name,Style,Brewery,ABV,Min IBU,Max IBU,number_of_reviews
# 100,Barleywine - American,Nøgne Ø - Det Kompromissløse Bryggeri A/S,1.5384615384615388,4.0,3.25,0.4789272030651341
#9,Fruit and Field Beer,Magic Hat Brewing Company,-0.3461538461538463,-1.5,0.5,5.168582375478927
't Smisje BBBourgondier,Quadrupel (Quad),Brouwerij Smisje,2.307692307692308,0.5,0.75,0.0038314176245210726
't Smisje Blond,Blonde Ale - Belgian,Brouwerij Smisje,0.0,-0.5,-0.25,-0.1724137931034483
(512) Pecan Porter(512) Brewing Company,Porter - American,(512) Brewing Company,0.076923076923077,0.0,0.25,-0.04597701149425287
(512) Whiskey Barrel Aged Double Pecan Porter(512) Brewing Company,Porter - Imperial,(512) Brewing Company,0.846153846153846,1.5,0.75,-0.21455938697318008
10 Commandments,Strong Ale - Belgian Dark,The Lost Abbey,1.9230769230769234,0.5,0.75,0.7739463601532567
10 Degrees Below,Wheat Beer - Dunkelweizen,Scuttlebutt Brewing Company,0.5384615384615387,-1.0,-1.0,-0.21839080459770116
1100 Wheat Wine,Wheat Beer - Wheatwine,Fitger's Brewhouse,2.115384615384616,2.5,2.5,-0.3371647509578544
12 Dogs Of Christmas Ale,Winter Warmer,Thirsty Dog Brewing Company,0.884615384615385,1.5,0.75,0.1417624521072797
120 Minute IPA,IPA - Imperial,Dogfish Head Brewery,4.615384615384616,4.5,3.25,6.329501915708812
13 Rebels ESB,Bitter - English Extra Special / Strong Bitter (ESB),French Broad Brewing Co.,-0.30769230769230765,0.0,0.25,-0.06130268199233716
13th Century Grut Bier,Gruit / Ancient Herbed Ale,Professor Fritz Briem,-0.5384615384615387,-2.0,-1.75,0.10727969348659004
1488 Whisky Beer,Strong Ale - English,Tullibardine Distillery,0.3846153846153847,2.0,1.25,-0.28735632183908044
1516 Bavarian Lager,Lager - Helles,Okanagan Spring Brewery,-0.3846153846153847,-0.2,-0.5,-0.2260536398467433
1554,Lager - European Dark,New Belgium Brewing,0.0,-0.5,0.25,4.084291187739463
17 Grande Réserve,Strong Ale - Belgian Dark,Unibroue,1.5384615384615388,0.5,0.75,-0.31417624521072796
1809,Sour - Berliner Weisse,Professor Fritz Briem,-0.3846153846153847,-1.7,-1.45,1.1992337164750957
1888,California Common / Steam Beer,Anaheim Brewery,-0.19230769230769235,1.5,0.5,-0.3486590038314176
1906 Reserva Especial,Lager - Vienna,"Hijos De Rivera, S.A.",0.19230769230769235,-0.5,-0.25,-0.2796934865900383
2XIPA,IPA - Imperial,Southern Tier Brewing Company,0.846153846153846,4.5,3.25,2.371647509578544
2XSTOUT,Stout - Sweet / Milk,Southern Tier Brewing Company,0.576923076923077,-0.5,-0.5,-0.2796934865900383
312 Urban Wheat,Wheat Beer - American Pale,Goose Island Beer Co.,-0.6923076923076923,-1.0,0.0,2.1149425287356323
